fixture,global_mae,global_rmse,global_max,seam_mae,non_seam_mae,border_mae,seam_non_seam,img_mae_levels,img_differ_frac,compiler_drift_mae,tiling_drift_mae
smooth_188x188,0.0002476071263216194,0.00039695955607582027,0.010799288749694824,0.0002800497171981059,0.00024695381437674253,0.00023008756630673078,1.134016568664429,0.05973196770786178,0.05962056266032896,,
seam_stress_188x188,0.00011677768273883127,0.00020027993936753684,0.00342559814453125,8.164128986942153e-05,0.0001101639958527031,0.00029516615258319524,0.7410886763637513,0.01175293779236457,0.01175293779236457,0.00011677768273883126,0.0
high_frequency_188x188,0.0005621849815503493,0.0007090907368045519,0.0037480592727661133,0.0005745051316524627,0.0005671170072959652,0.0004427388977421294,1.0130275133022801,0.14547848762637694,0.14547848762637694,,
noise_188x188,0.0004297389034881168,0.0005535977475143009,0.0032639503479003906,0.00042659035140150416,0.0004322154866531491,0.00037889414360307784,0.9869853454460805,0.10486044307378904,0.10486044307378904,,
mixed_188x188,0.00013012808789275655,0.0001681974920595141,0.0019369721412658691,0.00021805773760386548,0.0001243916831440158,0.00016899498566145605,1.7529929018759782,0.032839142900256524,0.032839142900256524,,
smooth_257x191,0.00025283794215189275,0.00040044648001557215,0.010799288749694824,0.00024886177714080886,0.000254253928051439,0.0002277840821888943,0.9787922611384818,0.06055192820909813,0.06045261474524823,,
seam_stress_257x191,0.00010687712018060581,0.0001865847095089944,0.0034254789352416992,0.00011027902431677409,9.861800066428306e-05,0.00029949953727438487,1.1182443729739326,0.009708527716095912,0.009708527716095912,,
high_frequency_257x191,0.0005669132408957592,0.0007131173369802805,0.003331005573272705,0.0005775210220285163,0.000569795326938279,0.0004719887067324009,1.0135587196401739,0.1471850999246236,0.1471850999246236,,
noise_257x191,0.0004284883006869269,0.0005525397406343593,0.0030984878540039062,0.0004274523625023527,0.0004306500498026236,0.0003784129848108031,0.9925747429920502,0.10350712340674041,0.10350712340674041,,
mixed_257x191,0.00012969912548271983,0.00016843137264518806,0.0031102895736694336,0.0001344818197882482,0.00012767691955592003,0.00016758343901512472,1.0532978102541686,0.03267073427451939,0.03267073427451939,,
smooth_191x257,0.0002515892315777068,0.00040295374679431774,0.010799288749694824,0.0002485281331374454,0.0002525716670868553,0.00023491671877568738,0.9839905481242304,0.06022088332959847,0.060094831625481286,,
seam_stress_191x257,0.0001044744497053465,0.00018218155089931367,0.0034254789352416992,0.00010365349093673456,9.706266520530452e-05,0.00028643504178302645,1.0679027895791784,0.009887207067723294,0.009887207067723294,,
high_frequency_191x257,0.0005605994998774673,0.000707856926766381,0.003331005573272705,0.00055561038890491,0.0005661254003511578,0.0004380954179196834,0.9814263563519221,0.1451063078479706,0.1451063078479706,,
noise_191x257,0.00042750597063580877,0.0005515122514892931,0.0033234357833862305,0.0004302601796685316,0.0004292007044361969,0.0003798710148365607,1.0024684843742893,0.10375837798195041,0.10375837798195041,,
mixed_191x257,0.00012969720076062458,0.00016805417545410714,0.0033525824546813965,0.0001317096687942629,0.00012739380836323662,0.0001809190633701854,1.0338781019774566,0.03293641901114348,0.03293641901114348,,
smooth_257x257,0.00025511240252557835,0.0004073010018716073,0.010799288749694824,0.0002495084333567621,0.0002565586490386508,0.000230220679734883,0.9725200623393268,0.060940867133996476,0.06082794591893897,0.0002539313731067892,0.0
seam_stress_257x257,9.817755008882031e-05,0.00017319376700764504,0.0034254789352416992,7.1283711110873e-05,9.412375187616522e-05,0.0002917438890351403,0.7573403066704999,0.008716382281841259,0.008716382281841259,,
high_frequency_257x257,0.0005640187153156653,0.000711331534660524,0.003331005573272705,0.000561413992078178,0.0005675653202058633,0.0004706120686118607,0.9891619027648588,0.14610711996648953,0.14610711996648953,,
noise_257x257,0.0004300772457439218,0.0005546240209912465,0.003508329391479492,0.0004295383487231912,0.0004321327868043425,0.0003731197463363726,0.9939962017223054,0.10411399112779905,0.10411399112779905,,
mixed_257x257,0.00012935026481470714,0.00016731693995811501,0.0031102895736694336,0.0001171219885957587,0.00012882865601662939,0.000179734961886805,0.9091299421818111,0.03267933655316507,0.03267933655316507,,
smooth_301x227,0.0002518270308787057,0.00040116563016222084,0.010799288749694824,0.00024220113011532123,0.0002540512459849346,0.00020956423677048088,0.9533554113317906,0.06006623784643455,0.05995525195018075,,
seam_stress_301x227,9.76415260877443e-05,0.0001726795459473875,0.0034254789352416992,7.08522370664835e-05,9.297805474870747e-05,0.00029731801592021076,0.7620318284564719,0.008227896731892224,0.008227896731892224,,
high_frequency_301x227,0.0005657414493519407,0.0007127738828449231,0.0033313632011413574,0.0005829410301070417,0.0005679276895513141,0.00046115986994407245,1.026435303000614,0.14701819924773515,0.14701819924773515,,
noise_301x227,0.00043015859542833607,0.0005544210038139892,0.003599405288696289,0.0004322377200403023,0.00043171422522351414,0.0003797648181017896,1.0012125957084623,0.10465390694747317,0.10465390694747317,,
mixed_301x227,0.00012845852133972762,0.0001662377815010885,0.002920091152191162,0.0001296800571146281,0.00012701149986263713,0.00016787279123873166,1.021010359336572,0.03253624726194135,0.03253624726194135,,
