candidate,fixture,mae,rmse,max_abs,p50_abs,p95_abs,p99_abs,mean_signed_error,psnr_raw_peak1,correlation,nonfinite_count,element_count,ref_min,ref_max,nnc_min,nnc_max,ch0_mae,ch0_rmse,ch0_max,ch1_mae,ch1_rmse,ch1_max,ch2_mae,ch2_rmse,ch2_max
GENERAL,n2_original,0.00023984094409115587,0.0003607152542329353,0.008236557245254517,0.00017130374908447266,0.0006800808012485497,0.0012809675931930442,-0.00010011348853906047,68.85670982959009,0.9999995033686929,0,786432,-0.21138224005699158,1.284443974494934,-0.211181640625,1.2841796875,0.00023648915926890416,0.00036002031396037106,0.008236557245254517,0.00021760125459101623,0.00033364618822827563,0.007031738758087158,0.0002654324184135472,0.00038653858607597157,0.007529765367507935
GENERAL,rgb_channel_ramps,0.00023647066713946194,0.00043144447357659684,0.010592490434646606,0.00014090538024902344,0.0007756702601909617,0.0018874022737145422,-5.1001737898737076e-05,67.3015017913737,0.9999986922642531,0,786432,0.001096712308935821,1.0117402076721191,0.0008816719055175781,1.01171875,0.00023563386812774922,0.0004306964317853689,0.009001810103654861,0.00022420570776571225,0.0004199498826325291,0.008769292384386063,0.0002495724255249243,0.00044336856120347147,0.010592490434646606
GENERAL,smooth_2d_gradient,0.0003306886853814135,0.0005576727325949513,0.010898325592279434,0.00019729137420654297,0.0010930895805358887,0.0022493869066238237,-7.862805613784232e-05,65.07241179631018,0.9999987412264919,0,786432,-0.015018250793218613,1.062840461730957,-0.0153350830078125,1.0625,0.0003381162579602925,0.0005644786210114469,0.009667277336120605,0.00031405946405054983,0.0005243880732575122,0.008448809385299683,0.00033989033413339806,0.0005825612972778485,0.010898325592279434
GENERAL,edges_impulses,9.369632449051801e-05,0.0001685298774737417,0.002013087272644043,5.7917553931474686e-05,0.0003220508107915518,0.0007750454917550085,-5.737036654719673e-05,75.46646189920799,0.9999996017169118,0,786432,-0.30544745922088623,1.2899128198623657,-0.305419921875,1.2900390625,6.993694000081407e-05,0.00015454137122292388,0.0018205642700195312,0.00010004729029339112,0.00016826572397836789,0.0017635226249694824,0.00011110474317734886,0.00018168811055904922,0.002013087272644043
GENERAL,high_frequency,0.0002916976295607063,0.0003901289344398428,0.0058122724294662476,0.0002332748845219612,0.0007284283638000488,0.0013243268430232977,-0.00015523646678350278,68.17583676912642,0.999999682922996,0,786432,-0.14122267067432404,1.2103855609893799,-0.1397705078125,1.2099609375,0.00027423445403535916,0.00038114476839575467,0.005762249231338501,0.00028191073125804957,0.000376157203377551,0.0058122724294662476,0.0003189477033887101,0.0004121118541527624,0.0057471394538879395
GENERAL,deterministic_noise,0.00042520043294302923,0.0005481372744407899,0.003062337636947632,0.00034177303314208984,0.0011067986488342285,0.0015226417779922452,-0.0002415082551294745,65.22221328044881,0.999972094779852,0,786432,0.00718572735786438,0.9067100286483765,0.0078125,0.90576171875,0.0004491211971924258,0.0005705502001131403,0.003062337636947632,0.00029219787629131133,0.00037504797992131666,0.0024088621139526367,0.0005342822253453505,0.0006596778735124657,0.0029289722442626953
WDN,n2_original,0.023996187257038018,0.05535887463888129,0.7084290385246277,0.00848381221294403,0.09608749002218239,0.2398682203888875,0.0015359754649454116,25.13625494006196,0.9876789377231411,0,786432,-0.31243807077407837,1.330622911453247,-0.211181640625,1.2841796875,0.023285729693652696,0.0551200705706947,0.6997342109680176,0.024214828774731828,0.055850539058329714,0.7084290385246277,0.02448800330272953,0.05510272326324485,0.694257915019989
WDN,rgb_channel_ramps,0.0038404930200944417,0.005110758406027457,0.09644991159439087,0.003068774938583374,0.009963428229093536,0.01589622795581816,-0.0009486417701457126,45.83029296750859,0.9998202716029502,0,786432,-0.012077867984771729,1.0102012157440186,0.0008816719055175781,1.01171875,0.004071042901668431,0.005053761442480604,0.0437689193058759,0.003104410077451038,0.004094780512285352,0.04019123315811157,0.004346026081163856,0.006004316971400279,0.09644991159439087
WDN,smooth_2d_gradient,0.00658114979581798,0.008430449708832789,0.046058326959609985,0.005355991423130035,0.016920030117034912,0.023173636719584455,-0.0008695661196843874,41.48298516028022,0.9997174347026944,0,786432,-0.028379375115036964,1.051066517829895,-0.0153350830078125,1.0625,0.006803629010364439,0.008621269560365939,0.040108442306518555,0.006252929259376323,0.00805147787214268,0.03610837459564209,0.0066868911177131755,0.008606094475508681,0.046058326959609985
WDN,edges_impulses,0.01161982163308624,0.03809270159510492,0.5359576940536499,0.004808304598554969,0.03189794470090418,0.17212650790810585,0.0012026208168007698,28.383164507799876,0.976047764462294,0,786432,-0.22456173598766327,1.3918966054916382,-0.305419921875,1.2900390625,0.013060162036974403,0.0370406237980156,0.5113238096237183,0.011138277432393682,0.037999572707193466,0.5359576940536499,0.010661025429890635,0.03920696885970307,0.525192379951477
WDN,high_frequency,0.06898488476430169,0.10576701651299875,0.6597436666488647,0.02803608775138855,0.2119413688778877,0.34228881701826885,-0.008020213691676497,19.51299492195697,0.975079241682423,0,786432,-0.26376503705978394,1.280288577079773,-0.1397705078125,1.2099609375,0.06679233215564308,0.10438156799454643,0.646729588508606,0.06995273745459017,0.10808759392481739,0.653564453125,0.0702095846826718,0.10479287021895388,0.6597436666488647
WDN,deterministic_noise,0.1601454474296675,0.21273095293360453,1.4822005033493042,0.12387794256210327,0.43718661069869974,0.6467674930021159,-0.02222602555296016,13.44338628936979,0.3240265121044605,0,786432,-1.0493391752243042,1.7327488660812378,0.0078125,0.90576171875,0.15294894752624544,0.20398445458435824,1.387613594532013,0.16999625811949493,0.22745718989357214,1.4822005033493042,0.1574911366432621,0.2059537425291411,1.2474680542945862
DNI-0.5,n2_original,0.023502960198504685,0.05185026992865413,0.6075204610824585,0.006394810974597931,0.09151127636432647,0.1952442276477811,0.0026275879839676914,25.70497956728478,0.9902436491654885,0,786432,-0.24273258447647095,1.2675056457519531,-0.211181640625,1.2841796875,0.023456995958959462,0.05228252014316501,0.6075204610824585,0.023482140877406982,0.052302469619478466,0.6040244698524475,0.023569743759147596,0.05095430535495468,0.604310154914856
DNI-0.5,rgb_channel_ramps,0.0036829570606913436,0.004857176998365494,0.0504738986492157,0.0028946101665496826,0.009849240072071552,0.014537632465362549,-0.0008558039407190257,46.272321405882735,0.9998386560587937,0,786432,-0.004091806244105101,1.00824773311615,0.0008816719055175781,1.01171875,0.0033220651623599995,0.004392233343164129,0.034065067768096924,0.0032932676925655976,0.004188197942655081,0.024381563067436218,0.004433538327148434,0.005826129884639501,0.0504738986492157
DNI-0.5,smooth_2d_gradient,0.0049883730683405805,0.006407486393129698,0.033340588212013245,0.004024699330329895,0.012905092164874074,0.0176243311166763,0.0001840759088137258,43.86624614811811,0.9998363196290937,0,786432,-0.023978184908628464,1.0664421319961548,-0.0153350830078125,1.0625,0.004738221940752168,0.006146357396867803,0.03030647337436676,0.004805392715904761,0.00614865188689504,0.029380567371845245,0.005421504548364812,0.0068981168704348,0.033340588212013245
DNI-0.5,edges_impulses,0.008653343646758085,0.01751708156134969,0.2618396282196045,0.006274507206398994,0.018458632938563795,0.0804224124550819,0.0038132489214896537,35.13076495808327,0.9952346050568248,0,786432,-0.2127324342727661,1.3384530544281006,-0.305419921875,1.2900390625,0.009734062100042979,0.017674437216674183,0.22934174537658691,0.008434276694949821,0.01754670368297346,0.23623687028884888,0.007791692145281458,0.017328355323477755,0.2618396282196045
DNI-0.5,high_frequency,0.0555925969666094,0.09145870397163745,0.6476165652275085,0.022732138633728027,0.19496560096740712,0.3280277675390242,0.001959657966449394,20.775499142849196,0.9827850575713819,0,786432,-0.14782103896141052,1.2434303760528564,-0.1397705078125,1.2099609375,0.053001264211098444,0.09010195340290314,0.6476165652275085,0.05789472198043204,0.09361364100117224,0.6301119327545166,0.05588180470829772,0.09062123265548507,0.6060592532157898
DNI-0.5,deterministic_noise,0.05744269818613942,0.07392769881479555,0.7527436167001724,0.047152042388916016,0.14552473723888393,0.20910423249006194,-0.030143738380964773,22.623856241960716,0.6834035029981417,0,786432,-0.22002877295017242,1.0970947742462158,0.0078125,0.90576171875,0.05531175125563692,0.07164422680959037,0.7527436167001724,0.05467355600057111,0.07060919210201941,0.6840510070323944,0.06234278730221021,0.07922979686777862,0.6581429839134216
