fixture,halo,tiles,crop_mae,crop_rmse,crop_max,seam_mae,seam_max,non_seam_mae,non_seam_max,border_mae,border_max,exact_0,near_exact_1e-6
high_frequency_checker,40,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1728000,1728000
deterministic_noise,8,6,0.5472344726320912,3.325881668619215,112.88168334960938,6.68222704497855,112.88168334960938,0.2756426474797422,73.33544921875,0.14286426414866546,42.00704264640808,2253768,2253903
deterministic_noise,16,9,0.04329127441802028,0.23426024828014033,8.589111328125,0.47626768035968325,8.589111328125,0.015889743145770366,3.217681884765625,0.009475810135671461,2.268218994140625,2294835,2295019
deterministic_noise,24,12,0.0003809579267128408,0.0020095198316195588,0.0776214599609375,0.004200354851407112,0.0776214599609375,8.179765654014474e-05,0.014385223388671875,9.570716146815749e-05,0.0295257568359375,2615910,2616091
deterministic_noise,32,12,1.9001818570509613e-06,1.2131237865818745e-05,0.000396728515625,2.6035935538807143e-05,0.000396728515625,0.0,0.0,3.8150248873703957e-07,0.00019073486328125,3151108,3151199
deterministic_noise,33,12,7.088710201621656e-07,6.269448695080904e-06,0.000274658203125,9.712769457244058e-06,0.000274658203125,0.0,0.0,1.42435479255123e-07,8.0108642578125e-05,3217324,3217384
deterministic_noise,34,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3279696,3279696
deterministic_noise,35,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3279696,3279696
deterministic_noise,36,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3279696,3279696
deterministic_noise,40,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3279696,3279696
mixed_photo_like,8,9,0.8900358807328114,4.22370694546619,124.04205322265625,7.661612934331862,124.04205322265625,0.46205252925200696,85.34710693359375,0.20637400331162192,36.774261474609375,2010939,2011144
mixed_photo_like,16,9,0.030274312378608743,0.1708566402844674,7.150379180908203,0.32854150285645306,7.150379180908203,0.011174886031874096,2.8709716796875,0.007429447793523999,2.5800628662109375,2337750,2337936
mixed_photo_like,24,9,0.0001985686273488311,0.0012514213812247846,0.044219970703125,0.0026126680113300665,0.044219970703125,4.2968071175191045e-05,0.01186370849609375,4.33955745517308e-05,0.01506805419921875,2689002,2689205
mixed_photo_like,32,9,1.91324691793208e-06,1.0397482833344426e-05,0.00030517578125,3.1399388101436346e-05,0.00030517578125,0.0,0.0,3.906387928628859e-07,0.0001220703125,2972082,2972312
mixed_photo_like,33,16,7.172550056111504e-07,5.38859501438549e-06,0.000213623046875,7.909793295672916e-06,0.000213623046875,0.0,0.0,1.5088800692886818e-07,9.1552734375e-05,3060999,3061136
mixed_photo_like,34,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3145728,3145728
mixed_photo_like,35,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3145728,3145728
mixed_photo_like,36,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3145728,3145728
mixed_photo_like,40,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3145728,3145728
